3465355 -5555866 10001
3465347 -5555897 10002
3456469 -5554875 30001
3456494 -5554849 30002
3456446 -5554900 30003
3456421 -5554870 30004
3457476 -5549640 40001
3457439 -5549485 40002
3457584 -5549656 40003
3457565 -5549674 40004
3457476 -5549640 40051
3457439 -5549485 40052
3457504 -5549485 40053
3452955 -5552393 50001
3452963 -5552380 50002
3468630 -5543774 60001
3468614 -5543829 60002
3457809 -5547269 70001
3457796 -5547177 70002
3465384 -5557542 80001
3465393 -5557560 80002
3458212 -5541027 90001
3458189 -5540994 90002
3458201 -5541107 100001
3458174 -5541104 100002
3458647 -5541315 110001
3458660 -5541288 110002
3463124 -5552769 120001
3463058 -5552723 120002
3463132 -5552710 120003
3462865 -5552730 120004
3462866 -5552692 120005
3463122 -5552625 120006
3463105 -5552609 120007
3463124 -5552769 120051
3462982 -5552665 120052
3463158 -5552719 120053
3463122 -5552625 120054
3462866 -5552692 120055
3463122 -5552625 120056
3463020 -5552658 120057
3464080 -5551722 130001
3464077 -5551588 130002
3455564 -5535898 140001
3455595 -5535908 140002
3455396 -5535769 140003
3455070 -5551476 150001
3454947 -5551435 150002
3455026 -5551446 150051
3454984 -5551458 150052
3462307 -5550827 160001
3462233 -5550823 160002
3457566 -5542129 170001
3457488 -5542162 170002
3476630 -5552029 180001
3476607 -5552019 180002
3457254 -5542674 190001
3457247 -5542602 190002
3457259 -5542761 190003
3457256 -5542461 190004
3457283 -5542709 190051
3457259 -5542761 190052
3457549 -5551639 200001
3457515 -5551643 200002
3464849 -5556997 210001
3464854 -5556964 210002
3471917 -5542814 220001
3471923 -5542852 220002
3464240 -5545327 230001
3464288 -5545317 230002
3459161 -5540877 240001
3459221 -5540903 240002
3459151 -5540849 240041
3456691 -5549199 250001
3456630 -5549200 250002
3456805 -5549127 250051
3456640 -5549214 250052
3469662 -5545159 260001
3469660 -5545165 260002
3454658 -5546856 270001
3454725 -5546866 270002
3472754 -5550052 280001
3472730 -5550073 280002
3472676 -5550138 280003
3472661 -5550102 280004
3462204 -5549199 290001
3462226 -5549040 290002
3462188 -5549120 290003
3462335 -5549301 290004
3462357 -5549318 290005
3472497 -5553405 300001
3472554 -5553472 300002
3472497 -5553405 300079
