820001 334 1025 1 17 Bílenecké náměstí
820002 335 1025 1 17 Bílenecké náměstí
330001 336 1025 1 12 Bílý Beránek
330002 4286 1025 1 12 Bílý Beránek
330003 4287 1025 1 12 Bílý Beránek
340001 1176 1025 1 10 Biskupcova
340002 1177 1025 1 10 Biskupcova
4760003 1178 1 1 8 Blanická
470001 1179 1025 1 7 Blatiny
470002 1180 1025 1 7 Blatiny
470003 1181 1025 1 7 Blatiny
470004 1182 1025 1 7 Blatiny
350001 337 1025 4 9 Blatnická
350002 338 1025 4 9 Blatnická
360001 341 1025 1 6 Blatov
360002 342 1025 1 6 Blatov
13340002 343 1024 1 9 Blažimská
370001 344 1025 1 8 Bohdalec
370002 345 1025 1 8 Bohdalec
10920001 346 1025 1 10 Bohdalecká
10920002 4536 1025 1 10 Bohdalecká
5080001 4537 1 1 9 Bohemians
5080002 4538 1 1 9 Bohemians
11340001 1998 1025 1 14 Bohnické údolí
11340002 1999 1025 1 14 Bohnické údolí
17520001 350 1025 8 16 Bojanovice,chaty
17520002 351 1025 8 16 Bojanovice,chaty
19520001 355 1025 9 22 Bojanovice,Malá Lečice
19530001 356 1025 9 29 Bojanovice,Malá Lečice,U Hesů
19530002 357 1025 9 29 Bojanovice,Malá Lečice,U Hesů
17510001 358 1025 8 16 Bojanovice,rest.
17510002 359 1025 8 16 Bojanovice,rest.
19540001 360 1024 9 20 Bojanovice,Senešnice
390001 361 1025 1 8 Bojasova
390002 362 1025 1 8 Bojasova
10001 363 1025 2 9 Boletická
10002 368 1025 2 9 Boletická
7320001 369 1025 1 9 Bolevecká
7320002 366 1025 1 9 Bolevecká
1540001 367 1025 1 8 Boloňská
1540002 370 1025 1 8 Boloňská
1540003 371 1025 1 8 Boloňská
1540004 372 1025 1 8 Boloňská
14590001 373 1025 8 11 Borek,rozc.
14590002 374 1025 8 11 Borek,rozc.
18060001 375 1025 6 16 Bořanovice,rozc.
18060002 376 1025 6 16 Bořanovice,rozc.
400001 377 1025 1 10 Bořislavka
400002 387 1025 1 10 Bořislavka
400003 388 1025 1 10 Bořislavka
400005 389 1025 1 10 Bořislavka
400006 390 1025 1 10 Bořislavka
420001 391 1 1 17 Botanická zahrada
420002 392 1025 1 17 Botanická zahrada
5570001 393 1025 1 23 Botanická zahrada Troja
5570002 422 1025 1 23 Botanická zahrada Troja
18290001 423 1025 8 28 Brandýs n.L.-St.Bol.,aut.st.
18290002 424 1025 8 28 Brandýs n.L.-St.Bol.,aut.st.
19960001 425 1025 3 27 Brandýs n.L.-St.Bol.,Baumit
19960002 426 1025 3 27 Brandýs n.L.-St.Bol.,Baumit
33560001 427 1024 3 31 Brandýs n.L.-St.Bol.,Brázdimská
19460001 428 1025 3 35 Brandýs n.L.-St.Bol.,dům peč.služby
19460002 429 1025 3 35 Brandýs n.L.-St.Bol.,dům peč.služby
22020001 454 1025 3 28 Brandýs n.L.-St.Bol.,Fakulta
22020002 455 1025 3 28 Brandýs n.L.-St.Bol.,Fakulta
18360001 456 1025 8 28 Brandýs n.L.-St.Bol.,Hájenka
18360002 457 1025 8 28 Brandýs n.L.-St.Bol.,Hájenka
18310001 458 1025 8 28 Brandýs n.L.-St.Bol.,Kasárna
