00230001 011e 505d 0401 00041a2a Benkova
00230002 011f 365b 0401 00041f8e Benkova
23740001 0120 3139 0401 000424f8 Beroun,aut.st.
23740002 0121 3739 0401 000425e8 Beroun,aut.st.
23570001 0092 305d 0401 000426c6 Beroun,Hostim
23570002 0093 375b 0401 0004270e Beroun,Hostim
17470001 0094 3236 0400 00042750 Beroun,sídl.
17450001 0095 3634 0400 00042750 Beroun,U černého koně
00250001 0019 505d 0401 00042750 Bertramka
00250002 001a 5b32 0401 00044e68 Bertramka
04230001 001b 3036 0401 00047514 Betáň
04230002 036b 3037 0401 00047886 Betáň
00260001 036c 5d37 0401 00047c6a Betonárka
00260002 036d 5b50 0401 00047ee6 Betonárka
11650001 036e 3836 0401 000481f2 Bezděkovská
11650002 036f 3432 0401 000483b4 Bezděkovská
00310001 0146 5d33 0001 0004859a Bílá Hora
00310002 0147 5b42 0001 0004923c Bílá Hora
00310003 0148 3836 0001 00049eb4 Bílá Hora
00310004 0149 3236 0001 00049f44 Bílá Hora
00310005 0ddf 5d31 0401 00049fb0 Bílá Hora
00310006 0de0 5b50 0401 0004a754 Bílá Hora
00310007 014a 3936 0401 0004aefe Bílá Hora
00310008 014b 3931 0401 0004afd6 Bílá Hora
00320001 014c 5d37 0401 0004b0ba Bílá labuť
00320002 0de1 5b42 0401 0004eb64 Bílá labuť
00320052 014d 3637 0001 0005266e Bílá labuť
00820001 0de2 3432 0401 0005269e Bílenecké náměstí
00820002 0de3 5d36 0401 000528fc Bílenecké náměstí
00330001 014e 3550 0401 00052b42 Bílý Beránek
00330002 014f 3331 0401 00053100 Bílý Beránek
00330003 0150 342c 0401 000538e0 Bílý Beránek
00340001 0151 3433 0401 00053aae Biskupcova
00340002 0152 3130 0401 00055e36 Biskupcova
00340051 10de 322c 0001 0005830e Biskupcova
00340052 10df 2c42 0001 000583c2 Biskupcova
00470001 04a3 4231 0401 000583e6 Blatiny
00470002 04a4 2c32 0401 0005a414 Blatiny
00470003 04a5 3433 0401 0005c424 Blatiny
00470004 04a6 352c 0401 0005ca3c Blatiny
00350001 04a7 3637 0401 0005d04e Blatnická
00350002 04a8 2c36 0401 0005d2ac Blatnická
00360001 04a9 3537 0401 0005d522 Blatov
00360002 0153 362c 0401 0005e008 Blatov
13340002 0154 0000 0400 0005ea2e Blažimská
00370001 0157 0000 0401 0005ec7a Bohdalec
00370002 0158 0000 0401 00060f24 Bohdalec
10920001 0159 0000 0401 00063138 Bohdalecká
10920002 015a 0000 0401 00063fd8 Bohdalecká
05080001 015b 0000 0001 00064d70 Bohemians
05080002 015c 0000 0001 00066cc0 Bohemians
11340001 11da 0000 0401 00068c7c Bohnické údolí
11340002 11db 0000 0401 00068cfa Bohnické údolí
17520001 11dc 0000 0401 00068d72 Bojanovice,chaty
17520002 07dc 0000 0401 00068dde Bojanovice,chaty
19520001 07dd 0000 0401 00068e44 Bojanovice,Malá Lečice
19530001 0160 0000 0401 00068ed4 Bojanovice,Malá Lečice,U Hesů
19530002 0161 0000 0401 00068f16 Bojanovice,Malá Lečice,U Hesů
17510001 0165 0000 0401 00068f64 Bojanovice,rest.
17510002 0166 0000 0401 00068fd0 Bojanovice,rest.
19540001 0167 0000 0400 00069036 Bojanovice,Senešnice
00390001 0168 0000 0401 000690c6 Bojasova
00390002 0169 0000 0401 000699cc Bojasova
00010001 016a 0000 0401 0006a296 Boletická
00010002 016b 0000 0401 0006a9c8 Boletická
07320001 016c 0000 0401 0006b17e Bolevecká
07320002 016d 0000 0401 0006bcb2 Bolevecká
01540001 0173 0000 0401 0006c954 Boloňská
01540002 0174 0000 0401 0006d7ca Boloňská
01540003 0171 0000 0401 0006e598 Boloňská
01540004 0172 0000 0401 0006f03c Boloňská
14590001 0175 0000 0401 00070290 Borek,rozc.
14590002 0176 0000 0401 00070338 Borek,rozc.
18060001 0177 0000 0401 000703b6 Bořanovice,rozc.
18060002 0178 0000 0401 000704ca Bořanovice,rozc.
00400001 0179 0000 0401 00070602 Bořislavka
00400002 017a 0000 0401 000718c2 Bořislavka
00400003 0186 0000 0401 00072b64 Bořislavka
00400005 0187 0000 0401 000733ec Bořislavka
00400006 0188 0000 0401 00073ba2 Bořislavka
00420001 0189 0000 0001 00073c6e Botanická zahrada
00420002 018a 0000 0401 00075f18 Botanická zahrada
05570001 018b 0000 0401 00078222 Botanická zahrada Troja
05570002 01a8 0000 0401 000783fc Botanická zahrada Troja
18290001 01a9 0000 0401 00078708 Brandýs n.L.-St.Bol.,aut.st.
18290002 01aa 0000 0401 00078a56 Brandýs n.L.-St.Bol.,aut.st.
18290003 01ab 0000 0401 00078b5e Brandýs n.L.-St.Bol.,aut.st.
18290004 01ac 0000 0401 00078c60 Brandýs n.L.-St.Bol.,aut.st.
19960001 01ad 0000 0401 00078ff0 Brandýs n.L.-St.Bol.,Baumit
19960002 01ae 0000 0401 000790e6 Brandýs n.L.-St.Bol.,Baumit
33560001 01af 0000 0400 0007914c Brandýs n.L.-St.Bol.,Brázdimská
19460001 01c8 0000 0401 0007930e Brandýs n.L.-St.Bol.,dům peč.služby
19460002 01c9 0000 0401 0007936e Brandýs n.L.-St.Bol.,dům peč.služby
22020001 01ca 0000 0401 0007947c Brandýs n.L.-St.Bol.,Fakulta
22020002 01cb 0000 0401 00079500 Brandýs n.L.-St.Bol.,Fakulta
18360001 01cc 0000 0401 00079578 Brandýs n.L.-St.Bol.,Hájenka
18360002 01cd 0000 0401 000795f6 Brandýs n.L.-St.Bol.,Hájenka
18310001 083d 0000 0401 00079674 Brandýs n.L.-St.Bol.,Kasárna
18310002 083e 0000 0401 00079770 Brandýs n.L.-St.Bol.,Kasárna
22040001 083f 0000 0401 0007987e Brandýs n.L.-St.Bol.,Kralovice
22040002 0840 0000 0401 00079902 Brandýs n.L.-St.Bol.,Kralovice
19240001 0841 0000 0401 0007997a Brandýs n.L.-St.Bol.,most
19240002 0842 0000 0401 00079cf8 Brandýs n.L.-St.Bol.,most
30010001 0843 0000 0401 0007a06a Brandýs n.L.-St.Bol.,Na Panském
30010002 01ef 0000 0401 0007a0dc Brandýs n.L.-St.Bol.,Na Panském
22030001 01f0 0000 0401 0007a15a Brandýs n.L.-St.Bol.,na Radosti
22030002 01f1 0000 0401 0007a1de Brandýs n.L.-St.Bol.,na Radosti
19420001 0231 0000 0401 0007a256 Brandýs n.L.-St.Bol.,nádr.
19420002 0232 0000 0401 0007a3e8 Brandýs n.L.-St.Bol.,nádr.
19420003 06ea 0000 0401 0007a652 Brandýs n.L.-St.Bol.,nádr.
18270001 06eb 0000 0401 0007a7ae Brandýs n.L.-St.Bol.,nám.
18270002 06ec 0000 0401 0007abce Brandýs n.L.-St.Bol.,nám.
19480001 06ed 0000 0401 0007afac Brandýs n.L.-St.Bol.,nem.
19480002 09f4 0000 0401 0007b00c Brandýs n.L.-St.Bol.,nem.
